dataset,path,story,sample_rate,frames,channels,duration_s
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex01_normed.wav,s2102a-ex01,44100,1243116,1,28.18857142857143
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex01_question_normed.wav,s2102a-ex01_question,44100,217501,1,4.931995464852608
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex02_normed.wav,s2102a-ex02,44100,1603804,1,36.367437641723356
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex02_question_normed.wav,s2102a-ex02_question,44100,124294,1,2.818458049886621
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex03_normed.wav,s2102a-ex03,44100,1996545,1,45.27312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex03_question_normed.wav,s2102a-ex03_question,44100,101789,1,2.308140589569161
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2202b-ex02_normed.wav,s2202b-ex02,44100,2404657,1,54.52736961451247
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2202b-ex02_question_normed.wav,s2202b-ex02_question,44100,203633,1,4.617528344671202
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2301a-ex01_normed.wav,s2301a-ex01,44100,993895,1,22.537301587301588
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2301a-ex01_question_normed.wav,s2301a-ex01_question,44100,183174,1,4.153605442176871
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2302b-ex01_normed.wav,s2302b-ex01,44100,1548946,1,35.123492063492066
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2302b-ex01_question_normed.wav,s2302b-ex01_question,44100,193858,1,4.395873015873016
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2403a-ex01_question_normed.wav,s2403a-ex01_question,44100,189994,1,4.308253968253968
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2502a-ex01_question_normed.wav,s2502a-ex01_question,44100,130660,1,2.96281179138322
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2801a-ex01_normed.wav,s2801a-ex01,44100,2686917,1,60.9278231292517
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2801a-ex01_question_normed.wav,s2801a-ex01_question,44100,132479,1,3.0040589569161
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2902a-ex01_question_normed.wav,s2902a-ex01_question,44100,185902,1,4.21546485260771
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3001b-ex01_normed.wav,s3001b-ex01,44100,2168962,1,49.18281179138322
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3001b-ex01_question_normed.wav,s3001b-ex01_question,44100,195677,1,4.437120181405896
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3002a-ex01_question_normed.wav,s3002a-ex01_question,44100,204088,1,4.627845804988662
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3003a-ex01_normed.wav,s3003a-ex01,44100,1479307,1,33.54437641723356
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3003a-ex01_question_normed.wav,s3003a-ex01_question,44100,135206,1,3.065895691609977
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3003a-ex02_normed.wav,s3003a-ex02,44100,1966298,1,44.58725623582767
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3003a-ex02_question_normed.wav,s3003a-ex02_question,44100,172034,1,3.900997732426304
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3102b-ex01_normed.wav,s3102b-ex01,44100,917363,1,20.8018820861678
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3102b-ex01_question_normed.wav,s3102b-ex01_question,44100,162259,1,3.6793424036281177
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3201a-ex01_normed.wav,s3201a-ex01,44100,3399661,1,77.08981859410432
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3201a-ex01_question_normed.wav,s3201a-ex01_question,44100,208862,1,4.73609977324263
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3301a-ex01_normed.wav,s3301a-ex01,44100,1128260,1,25.584126984126986
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3301a-ex01_question_normed.wav,s3301a-ex01_question,44100,126341,1,2.864875283446712
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3301a-ex02_normed.wav,s3301a-ex02,44100,1642196,1,37.23800453514739
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3301a-ex02_question_normed.wav,s3301a-ex02_question,44100,152711,1,3.4628344671201816
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3602b-ex01_normed.wav,s3602b-ex01,44100,1570329,1,35.60836734693878
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3602b-ex01_question_normed.wav,s3602b-ex01_question,44100,181128,1,4.107210884353742
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3602b-ex02_normed.wav,s3602b-ex02,44100,1450846,1,32.8990022675737
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3602b-ex02_question_normed.wav,s3602b-ex02_question,44100,147482,1,3.344263038548753
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3703b-ex01_normed.wav,s3703b-ex01,44100,1559894,1,35.371746031746035
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3703b-ex01_question_normed.wav,s3703b-ex01_question,44100,280244,1,6.354739229024943
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3801a-ex01_normed.wav,s3801a-ex01,44100,1459782,1,33.10163265306122
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3801a-ex01_question_normed.wav,s3801a-ex01_question,44100,272288,1,6.174331065759637
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3802a-ex01_normed.wav,s3802a-ex01,44100,1529220,1,34.67619047619048
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3802a-ex01_question_normed.wav,s3802a-ex01_question,44100,230458,1,5.225804988662132
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3902a-ex01_normed.wav,s3902a-ex01,44100,1391515,1,31.55362811791383
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3902a-ex01_question_normed.wav,s3902a-ex01_question,44100,228413,1,5.179433106575964
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3902a-ex02_question_normed.wav,s3902a-ex02_question,44100,142708,1,3.236009070294785
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3903b-ex01_normed.wav,s3903b-ex01,44100,1157755,1,26.25294784580499
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3903b-ex01_question_normed.wav,s3903b-ex01_question,44100,164532,1,3.7308843537414966
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3903b-ex02_normed.wav,s3903b-ex02,44100,1452511,1,32.93675736961451
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3903b-ex02_question_normed.wav,s3903b-ex02_question,44100,201587,1,4.571133786848073
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s4001b-ex01_question_normed.wav,s4001b-ex01_question,44100,152939,1,3.4680045351473923
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s4002b-ex01_normed.wav,s4002b-ex01,44100,1527249,1,34.63149659863946
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s4002b-ex01_question_normed.wav,s4002b-ex01_question,44100,188630,1,4.277324263038548
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s4003b-ex01_normed.wav,s4003b-ex01,44100,1119873,1,25.393945578231293
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s4003b-ex01_question_normed.wav,s4003b-ex01_question,44100,184105,1,4.174716553287982
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/welcome_normed.wav,welcome,44100,87288,1,1.9793197278911565
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,catalan-m01,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,s1303a-ex01,44100,1508923,1,34.2159410430839
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,s1401a-ex01,44100,1556030,1,35.284126984126985
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1901b-ex01_normed.wav,s1901b-ex01,44100,1648794,1,37.38761904761905
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2102a-ex01_normed.wav,s2102a-ex01,44100,1243116,1,28.18857142857143
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2301a-ex01_normed.wav,s2301a-ex01,44100,993895,1,22.537301587301588
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,s3001b-ex01,44100,2168962,1,49.18281179138322
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,s3602b-ex01,44100,1570329,1,35.60836734693878
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,s4002b-ex01,44100,1527249,1,34.63149659863946
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/catalan-f01_normed.wav,catalan-f01,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s0703b-ex01_normed.wav,s0703b-ex01,44100,1721430,1,39.03469387755102
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s1201a-ex01_normed.wav,s1201a-ex01,44100,1523961,1,34.556938775510204
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2102a-ex02_normed.wav,s2102a-ex02,44100,1603804,1,36.367437641723356
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2202b-ex02_normed.wav,s2202b-ex02,44100,2404657,1,54.52736961451247
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3301a-ex01_normed.wav,s3301a-ex01,44100,1128260,1,25.584126984126986
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3602b-ex02_normed.wav,s3602b-ex02,44100,1450846,1,32.8990022675737
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3903b-ex01_normed.wav,s3903b-ex01,44100,1157755,1,26.25294784580499
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s4003b-ex01_normed.wav,s4003b-ex01,44100,1119873,1,25.393945578231293
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/catalan-m02_normed.wav,catalan-m02,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1001a-ex01_normed.wav,s1001a-ex01,44100,1837705,1,41.67131519274376
