dataset,action,recording,item,kind,reason
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,EKG4,channel,NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C136,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C137,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C138,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C139,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C140,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C141,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C142,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C143,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C144,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C145,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C146,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C147,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C148,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C149,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C150,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C151,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C152,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C153,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C154,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C155,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C156,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C157,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C158,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C159,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C160,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C161,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C162,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C163,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C164,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C165,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C166,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C167,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C168,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C169,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C170,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C171,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C172,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C173,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C174,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C175,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C176,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C177,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C178,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C179,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C180,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C181,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C182,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C183,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C184,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C185,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C186,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C187,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C188,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C189,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C190,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C191,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C192,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C193,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C194,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C195,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C196,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C197,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C198,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C199,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C200,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C201,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C202,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C203,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C204,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C205,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C206,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C207,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C208,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C209,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C210,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C211,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C212,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C213,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C214,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C215,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C216,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C217,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C218,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C219,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C220,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C221,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C222,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C223,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C224,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C225,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C226,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C227,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C228,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C229,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C230,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C231,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C232,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C233,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C234,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C235,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C236,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C237,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C238,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C239,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C240,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C241,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C242,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C243,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C244,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C245,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C246,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C247,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C248,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C249,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C250,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C251,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C252,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C253,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C254,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C255,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,C256,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC1,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC2,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC3,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC4,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC5,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC6,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC7,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC8,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC9,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC10,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC11,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC12,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC13,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC14,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC15,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
ds004703,EXCLUDE,sub-SD010_ses-01_task-PassiveListen,DC16,channel,UNKNOWN_CHANNEL_METADATA_OR_UNIT;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
