dataset,sample_key,neural_source,audio_or_envelope,story,pairing,status,reason
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-14,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s0703b-ex01_normed.wav,s0703b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-15,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s4003b-ex01_normed.wav,s4003b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-16,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3602b-ex02_normed.wav,s3602b-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-17,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2102a-ex02_normed.wav,s2102a-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-18,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3903b-ex01_normed.wav,s3903b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-19,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2202b-ex02_normed.wav,s2202b-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-20,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s1201a-ex01_normed.wav,s1201a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-21,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,pleasePressSpace,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-22,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/catalan-f01_normed.wav,catalan-f01,METADATA_ONLY,EXCLUDED,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-23,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1303a-ex02_normed.wav,s1303a-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-24,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1501a-ex01_normed.wav,s1501a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-25,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3201a-ex01_normed.wav,s3201a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-26,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3903b-ex02_normed.wav,s3903b-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-27,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,pleasePressSpace,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-28,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/catalan-m02_normed.wav,catalan-m02,METADATA_ONLY,EXCLUDED,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-29,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1001a-ex01_normed.wav,s1001a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-30,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1401a-ex02_normed.wav,s1401a-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-31,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3703b-ex01_normed.wav,s3703b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-32,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3301a-ex02_normed.wav,s3301a-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-33,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,pleasePressSpace,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-34,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/catalan-f02_normed.wav,catalan-f02,METADATA_ONLY,EXCLUDED,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-35,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3102b-ex01_normed.wav,s3102b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-36,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s0702a-ex01_normed.wav,s0702a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-37,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s0202b-ex01_normed.wav,s0202b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-38,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s1604a-ex01_normed.wav,s1604a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-39,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s2801a-ex01_normed.wav,s2801a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-40,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3802a-ex01_normed.wav,s3802a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-41,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3902a-ex01_normed.wav,s3902a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-42,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s2102a-ex03_normed.wav,s2102a-ex03,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-0,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/welcome_normed.wav,welcome,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions1_normed.wav,instructions1,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions3_normed.wav,instructions3,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,s3602b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1901b-ex01_normed.wav,s1901b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-5,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2102a-ex01_normed.wav,s2102a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-6,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,s3001b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-7,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2301a-ex01_normed.wav,s2301a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-8,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,s4002b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-9,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,s1401a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-10,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,pleasePressSpace,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-11,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,catalan-m01,METADATA_ONLY,EXCLUDED,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-12,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,s1303a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-13,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3903b-ex01_normed.wav,s3903b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-14,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s0703b-ex01_normed.wav,s0703b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-15,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2102a-ex02_normed.wav,s2102a-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-16,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3301a-ex01_normed.wav,s3301a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-17,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s4003b-ex01_normed.wav,s4003b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-18,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2202b-ex02_normed.wav,s2202b-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-19,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3602b-ex02_normed.wav,s3602b-ex02,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-20,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s1201a-ex01_normed.wav,s1201a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-21,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,pleasePressSpace,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
