relative_path,category,expected_bytes,format,status,characters,scope,top_level,rows,width_counts,static_parse,bytes_read,shape,samples,nonfinite
sub-SD017/ses-01/ieeg/sub-SD017_ses-01_task-PassiveListen_ieeg_audio-offset.json,metadata_or_other,41,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD017/ses-01/sub-SD017_ses-01_task-PassiveListen_events.tsv,metadata_or_other,420490,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,7105,"{""6"": 7105}",,,,,
sub-SD017/ses-01/sub-SD017_ses-01_task-PassiveListen_log.tsv,metadata_or_other,3060,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,67,"{""2"": 67}",,,,,
sub-SD018/ses-01/anat/SD018_contact_RAS.csv,anatomy,5629,CSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,176,"{""5"": 176}",,,,,
sub-SD018/ses-01/anat/sub-SD018_CT_defaced.nii,anatomy,67109216,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD018/ses-01/anat/sub-SD018_T1w_defaced.nii,anatomy,16777568,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD018/ses-01/ieeg/sub-SD018_ses-01_task-PassiveListen_channels.tsv,metadata_or_other,8682,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,278,"{""7"": 278}",,,,,
sub-SD018/ses-01/ieeg/sub-SD018_ses-01_task-PassiveListen_ieeg.json,metadata_or_other,1371,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD018/ses-01/ieeg/sub-SD018_ses-01_task-PassiveListen_ieeg_audio-offset.json,metadata_or_other,40,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD018/ses-01/sub-SD018_ses-01_task-PassiveListen_events.tsv,metadata_or_other,419599,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,7105,"{""6"": 7105}",,,,,
sub-SD018/ses-01/sub-SD018_ses-01_task-PassiveListen_log.tsv,metadata_or_other,3056,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,67,"{""2"": 67}",,,,,
sub-SD019/ses-01/anat/sub-SD019_CT_defaced.nii,anatomy,67109216,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD019/ses-01/anat/sub-SD019_T1w_defaced.nii,anatomy,16777568,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD019/ses-01/anat/sub-SD019_contact_RAS.csv,anatomy,7107,CSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,233,"{""5"": 233}",,,,,
sub-SD019/ses-01/ieeg/sub-SD019_ses-01_task-PassiveListen_channels.tsv,metadata_or_other,8485,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,278,"{""7"": 278}",,,,,
sub-SD019/ses-01/ieeg/sub-SD019_ses-01_task-PassiveListen_ieeg.json,metadata_or_other,1276,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD019/ses-01/ieeg/sub-SD019_ses-01_task-PassiveListen_ieeg_audio-offset.json,metadata_or_other,39,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD019/ses-01/sub-SD019_ses-01_task-PassiveListen_events.tsv,metadata_or_other,1352362,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,22973,"{""6"": 22973}",,,,,
sub-SD019/ses-01/sub-SD019_ses-01_task-PassiveListen_log.tsv,metadata_or_other,8381,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,179,"{""2"": 179}",,,,,
sub-SD021/ses-01/anat/sub-SD021_CT_defaced.nii,anatomy,67109216,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD021/ses-01/anat/sub-SD021_T1w_defaced.nii,anatomy,16777568,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD021/ses-01/anat/sub-SD021_contact_RAS.csv,anatomy,4520,CSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,143,"{""5"": 143}",,,,,
sub-SD021/ses-01/ieeg/sub-SD021_ses-01_task-PassiveListen_channels.tsv,metadata_or_other,8896,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,281,"{""7"": 281}",,,,,
sub-SD021/ses-01/ieeg/sub-SD021_ses-01_task-PassiveListen_ieeg.json,metadata_or_other,1242,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD021/ses-01/ieeg/sub-SD021_ses-01_task-PassiveListen_ieeg_audio-offset.json,metadata_or_other,40,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD021/ses-01/sub-SD021_ses-01_task-PassiveListen_events.tsv,metadata_or_other,1349568,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,22973,"{""6"": 22973}",,,,,
sub-SD021/ses-01/sub-SD021_ses-01_task-PassiveListen_log.tsv,metadata_or_other,10105,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,233,"{""2"": 233}",,,,,
sub-SD022/ses-01/anat/sub-SD022_CT_defaced.nii,anatomy,67109216,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD022/ses-01/anat/sub-SD022_T1w_defaced.nii,anatomy,16777568,NIFTI,PASS_FORMAT,,"All voxel values decoded; no reconstruction, visualization or identity inference; not benchmark input",,,,,,"[256, 256, 256]",16777216,0
sub-SD022/ses-01/anat/sub-SD022_contact_RAS.csv,anatomy,2941,CSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,95,"{""5"": 95}",,,,,
sub-SD022/ses-01/ieeg/sub-SD022_ses-01_task-PassiveListen_channels.tsv,metadata_or_other,9026,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,280,"{""7"": 280}",,,,,
sub-SD022/ses-01/ieeg/sub-SD022_ses-01_task-PassiveListen_ieeg.json,metadata_or_other,1366,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD022/ses-01/ieeg/sub-SD022_ses-01_task-PassiveListen_ieeg_audio-offset.json,metadata_or_other,41,JSON,PASS_FORMAT,,Parsed JSON; notebook cells NOT executed,dict,,,,,,,
sub-SD022/ses-01/sub-SD022_ses-01_task-PassiveListen_events.tsv,metadata_or_other,1351281,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,22973,"{""6"": 22973}",,,,,
sub-SD022/ses-01/sub-SD022_ses-01_task-PassiveListen_log.tsv,metadata_or_other,10108,TSV,PASS_FORMAT,,Decoded table; semantic/rectangular requirements not assumed,,233,"{""2"": 233}",,,,,
